"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "PostCSS", "SCSS", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\components\home\HomeSlider.jsx", "JavaScript JSX", 0, 74, 0, 0, 0, 0, 0, 0, 0, 13, 87
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\components\home\References.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 0, 5, 57
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\components\home\Services.jsx", "JavaScript JSX", 0, 51, 0, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\components\home\WhyUs.jsx", "JavaScript JSX", 0, 63, 0, 0, 0, 0, 0, 0, 0, 7, 70
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\components\layout\Footer.jsx", "JavaScript JSX", 0, 82, 0, 0, 0, 0, 0, 0, 0, 10, 92
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\components\layout\Navbar.jsx", "JavaScript JSX", 0, 110, 0, 0, 0, 0, 0, 0, 0, 18, 128
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\components\seo\PageSeo.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 0, 0, 0, 0, 8, 63
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\components\seo\SiteSeo.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\components\shared\Button.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\components\shared\CountUpText.jsx", "JavaScript JSX", 0, 69, 0, 0, 0, 0, 0, 0, 0, 16, 85
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\components\shared\SectionTitle.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\data\aboutData.json", "JSON", 0, 0, 118, 0, 0, 0, 0, 0, 0, 1, 119
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\data\contactData.json", "JSON", 0, 0, 80, 0, 0, 0, 0, 0, 0, 1, 81
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\data\hardwareData.json", "JSON", 0, 0, 105, 0, 0, 0, 0, 0, 0, 1, 106
